epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,795.461,1.24545,0.6506,1.28489,0.94294,0.95531,0.96223,0.57186,1.34686,0.57755,1.37812,0.0015941,0.0015941,0.0015941
43,812.51,1.22733,0.64308,1.2734,0.94036,0.96532,0.96744,0.57733,1.34835,0.55338,1.4132,0.0015842,0.0015842,0.0015842
44,829.698,1.24616,0.6538,1.27973,0.93289,0.95954,0.9676,0.59922,1.34914,0.55262,1.36889,0.0015743,0.0015743,0.0015743
45,846.776,1.25321,0.65285,1.28688,0.97057,0.95331,0.97324,0.59361,1.38999,0.55121,1.44006,0.0015644,0.0015644,0.0015644
46,865.101,1.22677,0.62323,1.263,0.95932,0.95414,0.97065,0.60222,1.34119,0.55428,1.37424,0.0015545,0.0015545,0.0015545
47,892.248,1.21052,0.63283,1.26381,0.95102,0.9711,0.97511,0.57071,1.43307,0.58405,1.47819,0.0015446,0.0015446,0.0015446
48,919.224,1.23621,0.63239,1.27592,0.94847,0.9711,0.9675,0.58541,1.3158,0.54863,1.35772,0.0015347,0.0015347,0.0015347
49,946.239,1.23255,0.62897,1.2758,0.95992,0.96904,0.97024,0.59122,1.36277,0.52172,1.40102,0.0015248,0.0015248,0.0015248
50,973.362,1.22571,0.60988,1.25713,0.95974,0.9645,0.97255,0.61166,1.30259,0.52812,1.33954,0.0015149,0.0015149,0.0015149
51,1001.51,1.21098,0.62182,1.24413,0.92703,0.95463,0.97187,0.58927,1.34264,0.56611,1.37782,0.001505,0.001505,0.001505
52,1029.48,1.19158,0.61561,1.24441,0.95752,0.96532,0.97948,0.59677,1.32688,0.51311,1.37215,0.0014951,0.0014951,0.0014951
53,1057.03,1.16875,0.58348,1.22802,0.96529,0.96443,0.97295,0.59477,1.34263,0.54067,1.38223,0.0014852,0.0014852,0.0014852
54,1084.57,1.19926,0.60622,1.25553,0.94037,0.95954,0.96596,0.59028,1.32566,0.56053,1.38064,0.0014753,0.0014753,0.0014753
